entity_name,categories,first_seen
Alta VerdictDynamics,HR|Legal,2026-06-02
AltaPatchWorks,HR|MSP Platform,2026-06-01
AltaRoster Sphere,HR|Legal,2026-06-01
Anchor TeamHub,HR|LMS,2026-06-01
Anchor TriagePlatform,Legal|Medical,2026-06-01
AnchorPulse Cloud,MSP Platform|Medical,2026-06-06
AnchorRxHub,Legal|Medical,2026-06-01
Apex CaseLogic,Legal|Medical,2026-06-01
Apex PatchApp,MSP Platform|Medical,2026-06-01
ApexCare Logic,HR|Medical,2026-06-05
ApexPulse Solutions,Legal|Medical,2026-06-01
ApexSkillSync,HR|LMS,2026-06-01
Arch LawPoint,Legal|Medical,2026-06-01
ArchFin Desk,ERP|MSP Platform,2026-06-10
ArchVital Soft,Legal|Medical,2026-06-01
Atlas PatientPoint,Legal|Medical,2026-06-03
Atlas VerdictSolutions,HR|Legal,2026-06-04
AtlasBenefit Works,HR|LMS,2026-06-01
AtlasFiling Core,ERP|Legal,2026-06-01
AtlasHealth Sphere,HR|Medical,2026-06-01
AtlasNode Soft,ERP|MSP Platform,2026-06-02
AtlasTriage Soft,Legal|Medical,2026-06-12
Beacon OrderSoft,ERP|Legal,2026-06-01
Blue PerformSystems,HR|LMS,2026-06-03
BlueChain Logic,ERP|MSP Platform,2026-06-02
BlueClauseSoft,ERP|Legal,2026-06-05
BlueForge Cloud,ERP|HR,2026-06-29
BoldChainLogic,ERP|Medical,2026-06-01
Bright EndpointBase,LMS|MSP Platform,2026-06-01
BrightChart Sync,Legal|Medical,2026-06-03
BrightMatter Systems,LMS|Legal,2026-06-24
BrightMonitor App,Legal|MSP Platform,2026-06-01
BrightOrder Works,ERP|HR,2026-06-01
BrightStockLabs,ERP|Legal,2026-06-10
Cedar TalentLabs,HR|Medical,2026-06-06
CedarBenefit Logic,HR|MSP Platform,2026-06-02
CedarGrid Suite,HR|MSP Platform,2026-06-02
CedarPatientSolutions,HR|Medical,2026-06-02
Clear CompliSync,HR|Legal,2026-06-01
ClearForgeCloud,ERP|MSP Platform,2026-06-12
ClearLaw Works,ERP|Legal,2026-06-04
ClearPeopleSync,HR|Medical,2026-06-27
CobaltRoster Logic,ERP|HR,2026-06-01
Core OrderSolutions,ERP|HR,2026-06-11
CoreBatch App,ERP|LMS,2026-06-02
CoreMatterCloud,Legal|MSP Platform,2026-06-01
Crest BriefPlatform,Legal|MSP Platform,2026-06-01
Crest RosterWorks,HR|LMS,2026-06-03
CrestHealth App,MSP Platform|Medical,2026-06-28
CrestHealth Works,MSP Platform|Medical,2026-06-01
CrestResourceSolutions,ERP|MSP Platform,2026-06-17
CrestStockSoft,ERP|Legal,2026-06-02
Crown ChartDesk,ERP|Medical,2026-06-13
Crown OrderWorks,ERP|LMS,2026-06-15
Crown PulsePlatform,ERP|Medical,2026-06-01
CrownCareLabs,MSP Platform|Medical,2026-06-21
CrownStackPlatform,ERP|MSP Platform,2026-06-01
Delta BenefitPlatform,HR|LMS,2026-06-01
DeltaPlan Cloud,ERP|Medical,2026-06-01
Ember TriageTech,Legal|Medical,2026-06-01
EmberFin Flow,ERP|LMS,2026-06-08
EmberTriageSphere,ERP|Medical,2026-06-03
FalconClinicSync,Legal|Medical,2026-06-03
FalconLedger App,ERP|Legal,2026-06-13
FalconStackFlow,ERP|MSP Platform,2026-06-07
FalconTutorLabs,ERP|LMS,2026-06-01
Fusion FinSystems,ERP|LMS,2026-06-18
Fusion TalentTech,HR|Legal,2026-06-01
FusionDocketDynamics,LMS|Legal,2026-06-02
